Company,Valuation (B),Date Joined,Country,CityÂ ,First Category Industry,Second Category Industry,Third Category Industry,First Category Investor,Second Category Investor,Third Category Investor,Fourth Category Investor
ByteDance,$140.00,2017-07-04,China,Beijing,Artificial intelligence,NULL,NULL,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group
SpaceX,$127.00,2012-01-12,US,Hawthorne,Other,NULL,NULL,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,NULL
SHEIN,$100.00,2018-03-07,China,Shenzhen,E-commerce, direct-to-consumer,NULL,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,NULL
Stripe,$95.00,2014-01-23,US,San Francisco,Fintech,NULL,NULL,Khosla Ventures, LowercaseCapital, capitalG,NULL
Canva,$40.00,2018-08-01,Australia,Surry Hills,Internet software, services,NULL,Sequoia Capital China, Blackbird Ventures, Matrix Partners,NULL
Checkout.com,$40.00,2019-02-05,UK,London,Fintech,NULL,NULL,Tiger Global Management, Insight Partners, DST Global,NULL
Instacart,$39.00,2014-12-30,US,San Francisco,Supply chain, logistics, delivery,Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,NULL
Databricks,$38.00,2019-05-02,US,San Francisco,Data management, analytics,NULL,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,NULL
Revolut,$33.00,2018-04-26,UK,London,Fintech,NULL,NULL,index Ventures, DST Global, Ribbit Capital,NULL
Epic Games,$31.50,2018-10-26,US,Cary,Other,NULL,NULL,Tencent Holdings, KKR, Smash Ventures,NULL
FTX,$32.00,2021-07-20,Bahamas,Fintech,Sequoia Capital, Thoma Bravo, Softbank,NULL,NULL,NULL,NULL
Fanatics,$27.00,2012-06-06,US,Jacksonville,E-commerce, direct-to-consumer,NULL,SoftBank Group, Andreessen Horowitz, Temasek Holdings,NULL
Chime,$25.00,2019-05-03,US,San Francisco,Fintech,NULL,NULL,Forerunner Ventures, Crosslink Capital, Homebrew,NULL
BYJU's,$22.00,2017-07-25,India,Bengaluru,Edtech,NULL,NULL,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,NULL
Xiaohongshu,$20.00,2016-03-31,China,Shanghai,E-commerce, direct-to-consumer,NULL,GGV Capital, ZhenFund, Tencent,NULL
J&T Express,$20.00,2021-07-04,Indonesia,Jakarta,Supply chain, logistics, delivery,Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,NULL
Miro,$17.50,2022-05-01,US,San Francisco,Internet software, services,NULL,Accel, AltaIR Capital, Technology Crossover Ventures,NULL
Yuanfudao,$15.50,2017-05-31,China,Beijing,Edtech,NULL,NULL,Tencent Holdings, Warbug Pincus, IDG Capital,NULL
DJI Innovations,$15.00,2015-01-23,China,Shenzhen,Hardware,NULL,NULL,Accel Partners, Sequoia Capital,NULL,NULL
Discord,$15.00,2018-04-20,US,San Francisco,Internet software, services,NULL,Benchmark, Greylock Partners, Tencent Holdings,NULL
goPuff,$15.00,2020-08-10,US,Philadelphia,Supply chain, logistics, delivery,Accel, Softbank Group, Anthos Capital,NULL
Yuanqi Senlin,$15.00,2020-01-03,China,Beijing,Consumer, retail,NULL,Sequoia Capital China, Longfor Capitalm, Gaorong Capital,NULL
Ripple,$15.00,2019-12-20,US,San Francisco,Fintech,NULL,NULL,IDG Capital, Venture51, Lightspeed Venture Partners,NULL
Blockchain.com,$14.00,2021-02-17,UK,London,Fintech,NULL,NULL,Lightspeed Venture Partners, Google Ventures, Lakestar,NULL
Plaid,$13.50,2018-11-12,US,San Francisco,Fintech,NULL,NULL,New Enterprise Associates, Spar Capital, Index Ventures,NULL
OpenSea,$13.30,2021-07-20,US,New York,Internet software, services,NULL,Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,NULL
Celonis,$13.00,2018-06-26,Germany,Munich,Data management, analytics,NULL,Accel, 83North,NULL,NULL
Grammarly,$13.00,2019-10-10,US,San Francisco,Internet software, services,NULL,General Catalyst, Institutional Venture Partners, Breyer Capital,NULL
Devoted Health,$12.60,2018-10-16,US,Waltham,Health,NULL,NULL,Andreessen Horowitz, F-Prime Capital, Venrock,NULL
Faire,$12.59,2019-10-30,US,San Francisco,Artificial intelligence,NULL,NULL,Khosla Ventures, Forerunner Ventures, Sequoia Capital,NULL
Brex,$12.30,2018-05-10,US,San Francisco,Fintech,NULL,NULL,DST Global, Ribbit Capital, Greenoaks Capital Management,NULL
JUUL Labs,$12.00,2017-12-20,US,San Francisco,Consumer, retail,NULL,Tiger Global Management,NULL,NULL,NULL
Bitmain Technologies,$12.00,2018-06-07,China,Beijing,Hardware,NULL,NULL,Coatue Management, Sequoia Capital China, IDG Capital,NULL
Biosplice Therapeutics,$12.00,2018-06-08,US,San Diego,Health,NULL,NULL,Vickers Venture Partners, IKEA GreenTech,NULL,NULL
GoodLeap,$12.00,2021-10-13,US,Roseville,Internet software, services,NULL,New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management,NULL
Xingsheng Selected,$12.00,2020-07-22,China,Changsha,E-commerce, direct-to-consumer,NULL,KKR, Tencent Holdings, Sequoia Capital China,NULL
Deel,$12.00,2021-04-21,US,San Francisco,Fintech,NULL,NULL,Andreessen Horowitz, Spark Capital, Y Combinator,NULL
Getir,$11.80,2021-03-26,Turkey,Istanbul,Supply chain, logistics, delivery,Tiger Global Management, Sequoia Capital, Revo Capital,NULL
Airtable,$11.70,2018-11-15,US,San Francisco,Internet software, services,NULL,Caffeinated Capital, CRV, Founder Collective,NULL
ZongMu Technology,$11.40,2021-03-06,China,Shanghai,Auto, transportation,NULL,LTW Capital, Legend Capital, Qualcomm Ventures,NULL
Rippling,$11.25,2020-04-08,US,San Francisco,Internet software, services,NULL,Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,NULL
Global Switch,$11.10,2016-12-22,UK,London,Hardware,NULL,NULL,Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group,NULL
Bolt,$11.00,2021-08-10,US,San Francisco,Fintech,NULL,NULL,Activant Capital, Tribe Capital, General Atlantic,NULL
Alchemy,$10.20,2021-10-28,US,San Francisco,Fintech,NULL,NULL,DFJ Growth Fund, Coatue Management, Addition,NULL
Weilong,$10.88,2021-08-05,China,Luohe,Consumer, retail,NULL,Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital,NULL
Swiggy,$10.70,2018-06-21,India,Bengaluru,Supply chain, logistics, delivery,Accel India, SAIF Partners, Norwest Venture Partners,NULL
Lalamove,$10.00,2019-02-21,Hong Kong,Cheung Sha Wan,Supply chain, logistics, delivery,MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital,NULL
Figma,$10.00,2020-04-30,US,San Francisco,Internet software, services,NULL,Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers,NULL
Gusto,$10.00,2015-12-18,US,San Francisco,Fintech,NULL,NULL,General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers,NULL
Chehaoduo,$10.00,2016-12-03,China,Beijing,E-commerce, direct-to-consumer,NULL,Sequoia Capital China, GX Capital,NULL,NULL
reddit,$10.00,2017-07-31,US,San Francisco,Internet software, services,NULL,Y Combinator, Sequoia Capital, Coatue Management,NULL
Talkdesk,$10.00,2018-03-10,US,San Francisco,Internet software, services,NULL,DJF, Salesforce Ventures, Storm Ventures,NULL
Notion Labs,$10.00,2020-01-04,US,San Francisco,Internet software, services,NULL,Index Ventures, Draft Ventures, Felicis Ventures,NULL
Thrasio,$10.00,2020-07-15,US,Walpole,E-commerce, direct-to-consumer,NULL,Upper90, RiverPark Ventures, Advent International,NULL
Digital Currency Group,$10.00,2021-01-11,US,New York,Fintech,NULL,NULL,Ribbit Capital, capitalG, Softbank Group,NULL
KuCoin,$10.00,2022-10-05,Seychelles,Victoria,Fintech,NULL,NULL,IDG Capital, Matrix Partners China, Jump Crypto,NULL
OutSystems,$9.50,2018-05-06,US,Boston,Internet software, services,NULL,KKR, ES Ventures, North Bridge Growth Equity,NULL
ServiceTitan,$9.50,2018-11-14,US,Glendale,Internet software, services,NULL,Bessemer Venture Partners, ICONIQ Capital, Battery Ventures,NULL
HEYTEA,$9.28,2019-01-07,China,Shenzhen,Other,NULL,NULL,Sequoia Capital China, Tencent Investment, BA Capital,NULL
N26,$9.23,2019-10-01,Germany,Berlin,Fintech,NULL,NULL,Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,NULL
Klaviyo,$9.20,2020-11-17,US,Boston,Internet software, services,NULL,Summit Partners, Accel, Astral Capital,NULL
Northvolt,$9.08,2019-12-06,Sweden,Stockholm,Other,NULL,NULL,Vattenfall, Volkswagen Group, Goldman Sachs,NULL
Tanium,$9.00,2015-03-31,US,Kirkland,Cybersecurity,NULL,NULL,Andreessen Horowitz, Nor-Cal Invest, TPG Growth,NULL
Niantic,$9.00,2017-11-24,US,San Francisco,Mobile, telecommunications,NULL,Nintendo, Google, Pokemon Company International, Spark Capital
OYO Rooms,$9.00,2018-09-25,India,Gurugram,Travel,NULL,NULL,SoftBank Group, Sequoia Capital India,Lightspeed India Partners,NULL
Rapyd,$8.75,2019-03-12,UK,London,Fintech,NULL,NULL,Target Global, General Catalyst, Durable Capital Partners,NULL
